,Tamil_Nadu_demand
1147,16942.19
1148,16769.05
1149,16769.05
1150,16769.05
1151,16769.05
1152,15896.61
1153,15896.61
1154,15896.61
1155,15896.61
1156,15361.17
1157,15361.17
1158,15361.17
1159,15361.17
1160,15018.31
1161,15018.31
1162,15018.31
1163,15018.31
1164,14648.44
1165,14648.44
1166,14648.44
1167,14648.44
1168,14492.01
1169,14492.01
1170,14492.01
1171,14492.01
1172,14694.68
1173,14694.68
1174,14694.68
1175,14694.68
1176,14950.77
1177,14950.77
1178,14950.77
1179,14950.77
1180,15357.28
1181,15357.28
1182,15357.28
1183,15357.28
1184,15023.6
1185,15023.6
1186,15023.6
1187,15023.6
1188,14704.94
1189,14704.94
1190,14704.94
1191,14704.94
1192,14736.07
1193,14736.07
1194,14736.07
1195,14736.07
1196,15122.35
1197,15122.35
1198,15122.35
1199,15122.35
1200,15007.35
1201,15007.35
1202,15007.35
1203,15007.35
1204,14835.84
1205,14835.84
1206,14835.84
1207,14835.84
1208,14591.39
1209,14591.39
1210,14591.39
1211,14591.39
1212,15227.25
1213,15227.25
1214,15227.25
1215,15227.25
1216,14440.33
1217,14440.33
1218,14440.33
1219,14440.33
1220,14823.93
1221,14823.93
1222,14823.93
1223,14823.93
1224,15310.75
1225,15310.75
1226,15310.75
1227,15310.75
1228,16490.82
1229,16490.82
1230,16490.82
1231,16490.82
1232,15767.46
1233,15767.46
1234,15767.46
1235,15767.46
1236,16154.38
1237,16154.38
1238,16154.38
1239,16154.38
1240,16126.22
1241,16126.22
1242,16126.22
1243,16126.22
1244,15857.98
1245,15857.98
1246,15857.98
1247,15857.98
1248,14959.1
1249,14959.1
1250,14959.1
1251,14959.1
1252,14587.46
1253,14587.46
1254,14587.46
1255,14587.46
1256,14121.56
1257,14121.56
1258,14121.56
1259,14121.56
1260,13536.44
1261,13536.44
1262,13536.44
1263,13536.44
1264,13796.38
1265,13796.38
1266,13796.38
1267,13796.38
1268,13886.69
1269,13886.69
1270,13886.69
1271,13886.69
1272,14446.26
1273,14446.26
1274,14446.26
1275,14446.26
1276,15233.17
1277,15233.17
1278,15233.17
1279,15233.17
1280,15517.18
1281,15517.18
1282,15517.18
1283,15517.18
1284,14208.56
1285,14208.56
1286,14208.56
1287,14208.56
1288,14275.64
1289,14275.64
1290,14275.64
1291,14275.64
1292,14602.41
