fiscal_week,date,technology,observed_mu,modeled_mu,error_mu,absolute_error_mu,percentage_error
27,2025-09-30,hydro,22.71,25.601922076767497,2.8919220767674965,2.8919220767674965,12.734135080438117
27,2025-09-30,solar,47.87,60.257380201098215,12.387380201098217,12.387380201098217,25.877125968452514
27,2025-09-30,wind,128.82,59.46692581080018,-69.35307418919982,69.35307418919982,-53.837194681881556
27,2025-09-30,comparable_total,422.29,373.0796822356738,-49.21031776432625,49.21031776432625,-11.653204613968184
28,2025-10-08,coal,197.58,205.02765563768008,7.4476556376800715,7.4476556376800715,3.7694380188683425
28,2025-10-08,oil_gas,3.2,0.0,-3.2,3.2,-100.0
28,2025-10-08,nuclear,42.21,35.83917354120941,-6.370826458790589,6.370826458790589,-15.093168582777988
28,2025-10-08,hydro,21.23,21.087599100122052,-0.14240089987794846,0.14240089987794846,-0.6707531788881227
28,2025-10-08,solar,38.78,63.76594420180781,24.98594420180781,24.98594420180781,64.42997473390358
28,2025-10-08,wind,12.44,48.06353005309207,35.623530053092075,35.623530053092075,286.3627817772675
28,2025-10-08,comparable_total,315.44,373.78390253391143,58.34390253391143,58.34390253391143,18.496038084552193
29,2025-10-14,coal,189.56,193.55575656163995,3.9957565616399506,3.9957565616399506,2.1079112479636795
29,2025-10-14,oil_gas,4.0,0.0,-4.0,4.0,-100.0
29,2025-10-14,nuclear,49.21,35.83917354120941,-13.370826458790589,13.370826458790589,-27.17095399063318
29,2025-10-14,hydro,18.57,21.327313440350892,2.7573134403508917,2.7573134403508917,14.848214541469527
29,2025-10-14,solar,30.32,63.32455559068393,33.00455559068393,33.00455559068393,108.85407516716334
29,2025-10-14,wind,13.57,41.34953182320108,27.779531823201083,27.779531823201083,204.71283583788565
29,2025-10-14,comparable_total,305.23,355.39633095708524,50.16633095708522,50.16633095708522,16.435583316543333
30,2025-10-25,coal,144.51,148.60077265844336,4.09077265844337,4.09077265844337,2.8307886363873576
30,2025-10-25,oil_gas,4.04,0.0,-4.04,4.04,-100.0
30,2025-10-25,nuclear,46.79,35.83917354120941,-10.950826458790587,10.950826458790587,-23.404202733042503
30,2025-10-25,hydro,18.76,21.476654914620045,2.716654914620044,2.716654914620044,14.481102956396823
30,2025-10-25,solar,44.78,62.55389123500556,17.773891235005557,17.773891235005557,39.6915838209146
30,2025-10-25,wind,37.7,46.65266179338648,8.952661793386476,8.952661793386476,23.747113510308953
30,2025-10-25,comparable_total,296.58,315.1231541426649,18.54315414266489,18.54315414266489,6.252327919166798
31,2025-11-01,coal,158.5,211.5511707242021,53.05117072420211,53.05117072420211,33.47077017299818
31,2025-11-01,oil_gas,4.1,0.0,-4.1,4.1,-100.0
31,2025-11-01,nuclear,24.5,35.83917354120941,11.339173541209412,11.339173541209412,46.28234098452821
