component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,71.0,unit,2.0,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Tamil Nadu,Erode,2006-12-08,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_02,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_02,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,72.0,unit,1.0,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Tamil Nadu,Erode,2006-07-04,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_01,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_01,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,73.0,unit,1.0,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Tamil Nadu,Erode,2013-08-27,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_01,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_01,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,74.0,unit,2.0,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Tamil Nadu,Erode,2013-09-06,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_02,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_02,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,75.0,unit,1.0,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Tamil Nadu,Erode,2012-06-28,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_01,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_01,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,76.0,unit,2.0,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Tamil Nadu,Erode,2013-08-01,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_02,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_02,Erode,Erode,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,15.0
Generator,81.0,unit,1.0,Hydro,Kodayar I & II Power House,Tamil Nadu,Kanyakumari,1970-12-09,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kodayar_i_ii_power_house__unit_01,kodayar_i_ii_power_house__unit_01,Tirunelveli,Kanniyakumari,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,60.0
Generator,82.0,unit,2.0,Hydro,Kodayar I & II Power House,Tamil Nadu,Kanyakumari,1971-11-17,40.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kodayar_i_ii_power_house__unit_02,kodayar_i_ii_power_house__unit_02,Tirunelveli,Kanniyakumari,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,40.0
Generator,83.0,unit,1.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-07-08,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_01,kundah_i_to_v_hydroelectric_power_project__unit_01,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,20.0
Generator,84.0,unit,2.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-07-22,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_02,kundah_i_to_v_hydroelectric_power_project__unit_02,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,20.0
