date,reported_page_date,reservoir,full_depth_ft,full_capacity_mcft,current_level_ft,current_storage_mcft,current_inflow_cusec,current_outflow_cusec,last_year_level_ft,last_year_storage_mcft,source_url,date_validation,storage_fraction_gross,storage_fraction,inflow_mcft_per_day,outflow_mcft_per_day,current_storage_m3,full_capacity_m3,inflow_m3_per_day,outflow_m3_per_day,agriculture_storage_bcm,cwc_live_capacity_bcm,cwc_nonlive_offset_bcm,calibrated_live_storage_bcm,live_soc_fraction,live_capacity_source,soc_calibration_rule
2025-04-03,2025-04-03,AMARAVATHI,90.0,4047.0,47.77,1067.0,13.0,,46.16,993.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.2636520879663949,0.2636520879663949,1.1232,,30214075.313664,114598278.15782401,31805.4820921344,,0.030214075313664004,,0.0,,,,
2025-04-03,2025-04-03,Periyar,152.0,10570.0,113.0,1392.0,105.0,105.0,116.0,1907.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.13169347209082308,0.13169347209082308,9.072000000000001,9.072000000000001,39417050.456064,299309068.47744,256890.43228262404,256890.43228262404,0.039417050456064,,0.0,,,,
2025-04-03,2025-04-03,Vaigai,71.0,6091.0,56.4,2949.0,68.0,72.0,61.25,3847.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4841569528813003,0.4841569528813003,5.8752,6.2208000000000006,83506380.59980801,172477912.591872,166367.13709731842,176153.43927951364,0.08350638059980801,0.172,0.0,0.08350638059980801,0.4855022127895815,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-03,2025-04-03,Papanasam (TN EB Dam),143.0,5500.0,87.75,2434.0,373.0,300.0,63.85,1373.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4425454545454545,0.4425454545454545,32.2272,25.92,68923204.604928,155742656.256,912572.6784897025,733972.66366464,0.06892320460492801,,0.0,,,,
2025-04-03,2025-04-03,Manimuthar,118.0,5511.0,84.34,2504.0,62.0,,92.3,3119.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4543639992741789,0.4543639992741789,5.356800000000001,,70905383.86636801,156054141.56851202,151687.68382402562,,0.07090538386636801,0.156,0.0,0.07090538386636801,0.45452169145107696,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-03,2025-04-03,Pechiparai,48.0,4350.0,29.26,1969.0,146.0,,42.19,3503.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.45264367816091955,0.45264367816091955,12.6144,,55755870.939648,123178282.6752,357200.02965012484,,0.055755870939648004,,0.0,,,,
2025-04-03,2025-04-03,Perunchani,77.0,2890.0,25.4,198.0,30.0,22.0,47.9,793.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.0685121107266436,0.0685121107266436,2.592,1.9008,5606735.625216001,81835686.65088001,73397.26636646401,53824.6620020736,0.005606735625216,,0.0,,,,
2025-04-03,2025-04-03,Krishnagiri,52.0,1666.0,48.1,1248.0,137.0,171.0,43.25,821.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.7490996398559424,0.7490996398559424,11.8368,14.7744,35339424.546816,47175866.422272004,335180.8497401856,418364.4182888448,0.035339424546816,,0.0,,,,
2025-04-03,2025-04-03,Sathanur,119.0,7321.0,99.2,3638.0,,1209.0,88.65,2305.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4969266493648409,0.4969266493648409,,104.4576,103016687.90169601,207307633.900032,,2957909.8345684996,0.103016687901696,0.207,0.0,0.103016687901696,0.4976651589453914,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-03,2025-04-03,Sholayar,160.0,5046.0,1.98,20.0,10.0,10.0,6.16,66.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.003963535473642489,0.003963535473642489,0.8640000000000001,0.8640000000000001,566336.93184,142886807.903232,24465.755455488004,24465.755455488004,0.0005663369318400001,0.143,0.0,0.0005663369318400001,0.003960398124755246,CWC static live capacity,Agriculture storage clipped to CWC live capacity
