component_type,component_id,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_08,108,unit,8,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1989-09-18,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_07,109,unit,7,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-12-28,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_dam_hydroelectric_power_project__unit_01,110,unit,1,Hydro,Mettur Dam Hydroelectric Power Project,Tamil Nadu,Salem,1937-06-13,12.5,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_dam_hydroelectric_power_project__unit_02,111,unit,2,Hydro,Mettur Dam Hydroelectric Power Project,Tamil Nadu,Salem,1937-08-21,12.5,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_dam_hydroelectric_power_project__unit_03,112,unit,3,Hydro,Mettur Dam Hydroelectric Power Project,Tamil Nadu,Salem,1938-01-21,12.5,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_dam_hydroelectric_power_project__unit_04,113,unit,4,Hydro,Mettur Dam Hydroelectric Power Project,Tamil Nadu,Salem,1946-10-20,12.5,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_tunnel__unit_01,114,unit,1,Hydro,Mettur Tunnel,Tamil Nadu,Salem,1965-08-16,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,mettur_tunnel__unit_02,115,unit,2,Hydro,Mettur Tunnel,Tamil Nadu,Salem,1966-07-21,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),2
Generator,mettur_tunnel__unit_03,116,unit,3,Hydro,Mettur Tunnel,Tamil Nadu,Salem,1966-07-21,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),2
Generator,mettur_tunnel__unit_04,117,unit,4,Hydro,Mettur Tunnel,Tamil Nadu,Salem,1966-07-31,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,moyar_power_house__unit_01,118,unit,1,Hydro,Moyar Power House,Tamil Nadu,Nilgiris,1952-04-10,14.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,moyar_power_house__unit_02,119,unit,2,Hydro,Moyar Power House,Tamil Nadu,Nilgiris,1952-09-19,14.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,moyar_power_house__unit_03,120,unit,3,Hydro,Moyar Power House,Tamil Nadu,Nilgiris,1953-01-06,12.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,papanasam_hydroelectric_power_project__unit_01,121,unit,1,Hydro,Papanasam Hydroelectric Power Project,Tamil Nadu,Tirunelveli,1944-07-08,8.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,papanasam_hydroelectric_power_project__unit_02,122,unit,2,Hydro,Papanasam Hydroelectric Power Project,Tamil Nadu,Tirunelveli,1944-12-12,8.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,papanasam_hydroelectric_power_project__unit_03,123,unit,3,Hydro,Papanasam Hydroelectric Power Project,Tamil Nadu,Tirunelveli,1945-06-10,8.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,papanasam_hydroelectric_power_project__unit_04,124,unit,4,Hydro,Papanasam Hydroelectric Power Project,Tamil Nadu,Tirunelveli,1951-07-08,8.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,parson_s_valley_hydroelectric_power_project__unit_01,125,unit,1,Hydro,Parson's Valley Hydroelectric Power Project,Tamil Nadu,Nilgiris,2000-06-22,30.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,periyar_hydroelectric_power_project__unit_01,126,unit,1,Hydro,Periyar Hydroelectric Power Project,Tamil Nadu,Theni,1958-10-12,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,periyar_hydroelectric_power_project__unit_02,127,unit,2,Hydro,Periyar Hydroelectric Power Project,Tamil Nadu,Theni,1959-02-19,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,periyar_hydroelectric_power_project__unit_03,128,unit,3,Hydro,Periyar Hydroelectric Power Project,Tamil Nadu,Theni,1959-06-07,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,periyar_hydroelectric_power_project__unit_04,129,unit,4,Hydro,Periyar Hydroelectric Power Project,Tamil Nadu,Theni,1965-12-22,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_01,130,unit,1,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1932-06-09,7.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_02,131,unit,2,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1932-11-22,7.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_03,132,unit,3,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1933-09-05,7.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_04,133,unit,4,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1939-08-28,13.6,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_05,134,unit,5,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1954-05-30,13.6,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_hydroelectric_power_project__unit_06,135,unit,6,Hydro,Pykara Hydroelectric Power Project,Tamil Nadu,Nilgiris,1954-06-11,11.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,pykara_ultimate_hydroelectric_power_project__unit_01,136,unit,1,Hydro,Pykara Ultimate Hydroelectric Power Project,Tamil Nadu,Nilgiris,2005-09-06,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),3
Generator,pykara_ultimate_hydroelectric_power_project__unit_02,137,unit,2,Hydro,Pykara Ultimate Hydroelectric Power Project,Tamil Nadu,Nilgiris,2005-09-06,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),3
Generator,pykara_ultimate_hydroelectric_power_project__unit_03,138,unit,3,Hydro,Pykara Ultimate Hydroelectric Power Project,Tamil Nadu,Nilgiris,2005-09-06,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),3
Generator,sarkarpathy_hydroelectric_power_project__unit_01,139,unit,1,Hydro,Sarkarpathy Hydroelectric Power Project,Tamil Nadu,Coimbatore,1966-08-14,30.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,sholayar_i_power_house__unit_01,140,unit,1,Hydro,Sholayar I Power House,Tamil Nadu,Coimbatore,1971-04-22,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,sholayar_i_power_house__unit_02,141,unit,2,Hydro,Sholayar I Power House,Tamil Nadu,Coimbatore,1971-05-04,42.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,suruliyar_hydroelectric_power_project__unit_01,142,unit,1,Hydro,Suruliyar Hydroelectric Power Project,Tamil Nadu,Theni,1978-08-27,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,tamil_nadu_ariyalur__aggregate_01,151,aggregate,1,Wind,Tamil Nadu-Ariyalur,Tamil Nadu,Ariyalur,,22.0,,1
Generator,tamil_nadu_chennai__aggregate_01,152,aggregate,1,Wind,Tamil Nadu-Chennai,Tamil Nadu,Chennai,,3.125,,1
Generator,tamil_nadu_coimbatore__aggregate_01,153,aggregate,1,Wind,Tamil Nadu-Coimbatore,Tamil Nadu,Coimbatore,,2260.1875,,1
Generator,tamil_nadu_dharmapuri__aggregate_01,154,aggregate,1,Wind,Tamil Nadu-Dharmapuri,Tamil Nadu,Dharmapuri,,196.0,,1
Generator,tamil_nadu_dindigul__aggregate_01,155,aggregate,1,Wind,Tamil Nadu-Dindigul,Tamil Nadu,Dindigul,,635.2675,,1
Generator,tamil_nadu_erode__aggregate_01,156,aggregate,1,Wind,Tamil Nadu-Erode,Tamil Nadu,Erode,,129.33,,1
Generator,tamil_nadu_kancheepuram__aggregate_01,157,aggregate,1,Wind,Tamil Nadu-Kancheepuram,Tamil Nadu,Kancheepuram,,7.65,,1
Generator,tamil_nadu_kanniyakumari__aggregate_01,158,aggregate,1,Wind,Tamil Nadu-Kanniyakumari,Tamil Nadu,Kanniyakumari,,349.125,,1
