,Tamil_Nadu_demand
1354,14930.23
1355,14707.05
1356,14951.34
1357,14466.03
1358,14493.09
1359,15199.05
1360,15360.65
1361,15680.13
1362,15802.33
1363,16421.79
1364,15777.99
1365,15651.88
1366,15607.93
1367,15176.86
1368,14146.7
1369,13724.94
1370,13181.8
1371,13006.2
1372,12714.26
1373,12871.21
1374,13559.66
1375,14376.64
1376,14003.59
1377,14801.31
1378,14542.79
1379,15203.36
1380,14648.41
1381,14767.58
1382,14732.04
1383,15216.79
1384,15695.4
1385,15560.39
1386,16567.49
1387,16144.61
1388,15724.46
1389,15497.12
1390,15555.94
1391,15281.57
1392,14583.98
1393,13812.51
1394,13281.31
1395,13072.36
1396,13059.66
1397,13128.29
1398,13441.54
1399,14314.44
1400,14477.6
1401,15375.24
1402,15766.86
1403,15542.52
1404,15477.57
1405,15169.91
1406,15445.77
1407,16378.7
1408,16376.62
1409,15778.08
1410,15889.87
1411,16229.43
1412,16158.97
1413,15881.9
1414,16003.45
1415,15476.56
1416,14598.45
1417,13964.96
1418,13508.79
1419,13327.81
1420,13056.1
1421,13029.67
1422,13574.92
1423,14659.92
1424,15136.17
1425,16310.0
1426,16546.58
1427,16437.94
1428,16123.42
1429,16084.45
1430,15623.27
1431,15884.09
1432,16013.8
1433,16029.78
1434,15296.73
1435,15737.25
1436,15277.99
1437,15089.14
1438,15172.91
1439,14383.05
1440,13490.81
1441,13167.32
1442,12898.1
1443,12419.61
1444,12299.99
1445,12354.56
1446,12834.6
1447,14057.25
1448,14534.22
1449,15487.75
1450,15669.08
1451,15703.73
1452,15817.68
1453,15621.13
1454,15738.4
1455,16257.93
1456,16985.1
1457,17132.88
1458,16641.05
1459,17079.7
1460,16659.75
1461,16308.59
1462,16353.57
1463,16070.75
1464,15302.9
1465,15113.27
1466,15113.27
1467,14052.36
1468,13859.3
1469,13533.87
1470,13705.7
1471,13869.12
1472,13497.94
1473,13329.92
1474,13151.38
1475,13099.5
1476,13046.49
1477,13069.91
1478,13300.03
1479,13798.78
1480,14332.27
1481,14996.96
1482,14850.33
1483,15052.88
1484,14839.15
1485,15169.46
1486,15586.23
1487,15311.87
1488,14526.66
1489,14013.34
1490,13694.39
1491,13440.3
1492,13461.07
1493,13612.59
1494,14237.05
1495,15382.94
1496,15182.42
1497,15436.88
1498,15919.22
1499,16949.14
1500,16808.33
1501,16812.52
1502,16988.38
1503,18486.61
1504,17916.18
1505,16578.24
1506,15852.07
1507,17825.73
1508,17381.07
1509,17469.71
1510,17826.84
1511,17502.2
1512,16671.15
1513,16049.93
1514,15699.3
1515,15215.95
1516,15192.84
1517,15191.73
1518,15472.97
1519,16526.4
1520,16311.2
1521,16940.69
1522,17635.85
1523,17489.9
1524,17568.85
1525,17604.55
